id,date,sex,city,product category,MontH,season,region
37,2012-02-16,Erkek,Trabzon,DİĞER,Şubat,KIŞ,KARADENİZ
38,2012-02-16,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
39,2012-02-16,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
40,2012-02-16,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
41,2012-02-16,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
42,2012-02-16,Bayan,Bursa,Zayıflama,Şubat,KIŞ,MARMARA
43,2012-02-16,Erkek,Düzce,Cinsel,Şubat,KIŞ,KARADENİZ
44,2012-02-16,Erkek,Van,Güzellik,Şubat,KIŞ,DOĞU ANADOLU
45,2012-02-16,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
46,2012-02-16,Erkek,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
47,2012-02-16,Bayan,İstanbul,Sağlık,Şubat,KIŞ,MARMARA
48,2012-02-16,Erkek,Trabzon,Cinsel,Şubat,KIŞ,KARADENİZ
49,2012-02-16,Erkek,İzmir,Güzellik,Şubat,KIŞ,EGE
50,2012-02-16,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
51,2012-02-16,Bayan,Bursa,Zayıflama,Şubat,KIŞ,MARMARA
52,2012-02-16,Erkek,İstanbul,Ağrılar,Şubat,KIŞ,MARMARA
53,2012-02-16,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
54,2012-02-16,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
55,2012-02-16,Erkek,Konya,Cinsel,Şubat,KIŞ,İÇ ANADOLU
56,2012-02-16,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
57,2012-02-16,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
58,2012-02-16,Erkek,İstanbul,Bakım,Şubat,KIŞ,MARMARA
59,2012-02-16,Bayan,Muş,Zayıflama,Şubat,KIŞ,DOĞU ANADOLU
60,2012-02-16,Erkek,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
61,2012-02-16,Erkek,Ankara,Bakım,Şubat,KIŞ,İÇ ANADOLU
62,2012-02-16,Erkek,Kahramanmaraş,Saç,Şubat,KIŞ,AKDENİZ
63,2012-02-16,Bayan,Sivas,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
64,2012-02-17,Bayan,Çorum,Bakım,Şubat,KIŞ,KARADENİZ
65,2012-02-17,Erkek,Iğdır,Cinsel,Şubat,KIŞ,DOĞU ANADOLU
66,2012-02-17,Bayan,İstanbul,Güzellik,Şubat,KIŞ,MARMARA
67,2012-02-17,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
68,2012-02-17,Bayan,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
69,2012-02-17,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
70,2012-02-17,Bayan,Antalya,Zayıflama,Şubat,KIŞ,AKDENİZ
71,2012-02-17,Erkek,Samsun,Zayıflama,Şubat,KIŞ,KARADENİZ
72,2012-02-17,Bayan,İzmir,Güzellik,Şubat,KIŞ,EGE
73,2012-02-17,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
74,2012-02-17,Bayan,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
75,2012-02-17,Erkek,Sivas,Sağlık,Şubat,KIŞ,İÇ ANADOLU
76,2012-02-17,Bayan,İstanbul,Bakım,Şubat,KIŞ,MARMARA
77,2012-02-17,Erkek,Bursa,Güzellik,Şubat,KIŞ,MARMARA
78,2012-02-17,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
79,2012-02-18,Erkek,Adana,Sağlık,Şubat,KIŞ,AKDENİZ
80,2012-02-18,Bayan,Ankara,DİĞER,Şubat,KIŞ,İÇ ANADOLU
81,2012-02-18,Bayan,Denizli,Zayıflama,Şubat,KIŞ,EGE
82,2012-02-18,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
83,2012-02-18,Erkek,Bursa,Zayıflama,Şubat,KIŞ,MARMARA
84,2012-02-18,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
85,2012-02-18,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
86,2012-02-18,Erkek,İstanbul,Sağlık,Şubat,KIŞ,MARMARA
87,2012-02-18,Erkek,Kahramanmaraş,Zayıflama,Şubat,KIŞ,AKDENİZ
88,2012-02-18,Erkek,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
89,2012-02-18,Erkek,İzmir,DİĞER,Şubat,KIŞ,EGE
90,2012-02-20,Bayan,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
91,2012-02-20,Erkek,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
92,2012-02-20,Erkek,Aydın,Güzellik,Şubat,KIŞ,EGE
93,2012-02-20,Erkek,Şanlıurfa,Ağrılar,Şubat,KIŞ,GÜNEYDOĞU
94,2012-02-20,Bayan,Kocaeli,Zayıflama,Şubat,KIŞ,MARMARA
95,2012-02-20,Erkek,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
96,2012-02-20,Erkek,İstanbul,Güzellik,Şubat,KIŞ,MARMARA
97,2012-02-20,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
98,2012-02-20,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
99,2012-02-20,Erkek,Ankara,Cinsel,Şubat,KIŞ,İÇ ANADOLU
100,2012-02-20,Erkek,Erzurum,Cinsel,Şubat,KIŞ,DOĞU ANADOLU
101,2012-02-20,Erkek,Adıyaman,Zayıflama,Şubat,KIŞ,GÜNEYDOĞU
102,2012-02-20,Erkek,Kastamonu,Sağlık,Şubat,KIŞ,KARADENİZ
103,2012-02-20,Erkek,Konya,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
104,2012-02-20,Erkek,Kocaeli,Cinsel,Şubat,KIŞ,MARMARA
105,2012-02-20,Erkek,Giresun,Zayıflama,Şubat,KIŞ,KARADENİZ
106,2012-02-20,Bayan,Balıkesir,Zayıflama,Şubat,KIŞ,MARMARA
107,2012-02-20,Erkek,Amasya,Cinsel,Şubat,KIŞ,KARADENİZ
108,2012-02-20,Bayan,Antalya,Güzellik,Şubat,KIŞ,AKDENİZ
109,2012-02-20,Erkek,Ordu,Güzellik,Şubat,KIŞ,KARADENİZ
110,2012-02-20,Bayan,İstanbul,Güzellik,Şubat,KIŞ,MARMARA
111,2012-02-20,Erkek,Mersin,Saç,Şubat,KIŞ,AKDENİZ
112,2012-02-20,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
113,2012-02-20,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
114,2012-02-20,Bayan,Sivas,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
115,2012-02-20,Erkek,İzmir,Cinsel,Şubat,KIŞ,EGE
116,2012-02-20,Bayan,Trabzon,Sağlık,Şubat,KIŞ,KARADENİZ
117,2012-02-20,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
118,2012-02-21,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
119,2012-02-21,Erkek,Adana,DİĞER,Şubat,KIŞ,AKDENİZ
120,2012-02-21,Erkek,Afyon,Zayıflama,Şubat,KIŞ,EGE
121,2012-02-21,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
122,2012-02-21,Erkek,Mersin,Cinsel,Şubat,KIŞ,AKDENİZ
123,2012-02-21,Erkek,Adana,Zayıflama,Şubat,KIŞ,AKDENİZ
124,2012-02-21,Erkek,Rize,Cinsel,Şubat,KIŞ,KARADENİZ
125,2012-02-21,Erkek,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
126,2012-02-21,Erkek,Konya,Cinsel,Şubat,KIŞ,İÇ ANADOLU
127,2012-02-21,Erkek,Gaziantep,Saç,Şubat,KIŞ,GÜNEYDOĞU
128,2012-02-21,Bayan,Çanakkale,Zayıflama,Şubat,KIŞ,MARMARA
129,2012-02-21,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
130,2012-02-21,Erkek,İzmir,Cinsel,Şubat,KIŞ,EGE
131,2012-02-21,Erkek,Kayseri,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
132,2012-02-21,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
133,2012-02-21,Erkek,Denizli,Zayıflama,Şubat,KIŞ,EGE
134,2012-02-21,Erkek,Bursa,Bakım,Şubat,KIŞ,MARMARA
135,2012-02-21,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
136,2012-02-21,Erkek,Ankara,DİĞER,Şubat,KIŞ,İÇ ANADOLU
137,2012-02-21,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
138,2012-02-22,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
139,2012-02-22,Erkek,Bursa,Cinsel,Şubat,KIŞ,MARMARA
140,2012-02-22,Bayan,Tokat,Ağrılar,Şubat,KIŞ,KARADENİZ
141,2012-02-22,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
142,2012-02-22,Bayan,Isparta,Güzellik,Şubat,KIŞ,AKDENİZ
143,2012-02-22,Erkek,Ankara,DİĞER,Şubat,KIŞ,İÇ ANADOLU
144,2012-02-22,Bayan,Burdur,Zayıflama,Şubat,KIŞ,AKDENİZ
145,2012-02-22,Erkek,Manisa,Cinsel,Şubat,KIŞ,EGE
146,2012-02-22,Bayan,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
147,2012-02-22,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
148,2012-02-22,Bayan,Konya,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
149,2012-02-22,Erkek,Siirt,Cinsel,Şubat,KIŞ,GÜNEYDOĞU
150,2012-02-22,Erkek,Aksaray,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
151,2012-02-22,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
152,2012-02-22,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
153,2012-02-22,Bayan,İstanbul,Ağrılar,Şubat,KIŞ,MARMARA
154,2012-02-22,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
155,2012-02-22,Erkek,Diyarbakır,Ağrılar,Şubat,KIŞ,GÜNEYDOĞU
156,2012-02-22,Erkek,Tokat,Zayıflama,Şubat,KIŞ,KARADENİZ
157,2012-02-22,Bayan,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
158,2012-02-22,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
159,2012-02-22,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
160,2012-02-22,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
161,2012-02-22,Erkek,Mersin,Zayıflama,Şubat,KIŞ,AKDENİZ
162,2012-02-22,Erkek,Manisa,Cinsel,Şubat,KIŞ,EGE
163,2012-02-22,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
164,2012-02-22,Erkek,Balıkesir,Saç,Şubat,KIŞ,MARMARA
165,2012-02-22,Erkek,Manisa,Ağrılar,Şubat,KIŞ,EGE
166,2012-02-23,Erkek,Ankara,Güzellik,Şubat,KIŞ,İÇ ANADOLU
167,2012-02-23,Bayan,Aksaray,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
168,2012-02-23,Erkek,Balıkesir,Cinsel,Şubat,KIŞ,MARMARA
169,2012-02-23,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
170,2012-02-23,Erkek,Isparta,Sağlık,Şubat,KIŞ,AKDENİZ
171,2012-02-23,Erkek,Zonguldak,DİĞER,Şubat,KIŞ,KARADENİZ
172,2012-02-23,Erkek,Kocaeli,Zayıflama,Şubat,KIŞ,MARMARA
173,2012-02-23,Bayan,Ordu,Zayıflama,Şubat,KIŞ,KARADENİZ
174,2012-02-23,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
175,2012-02-23,Erkek,Zonguldak,DİĞER,Şubat,KIŞ,KARADENİZ
176,2012-02-23,Erkek,Kocaeli,Zayıflama,Şubat,KIŞ,MARMARA
177,2012-02-23,Erkek,Adana,Saç,Şubat,KIŞ,AKDENİZ
178,2012-02-23,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
179,2012-02-23,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
180,2012-02-23,Bayan,Kocaeli,Cinsel,Şubat,KIŞ,MARMARA
181,2012-02-23,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
182,2012-02-23,Erkek,İzmir,Ağrılar,Şubat,KIŞ,EGE
183,2012-02-23,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
184,2012-02-23,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
185,2012-02-23,Erkek,Muş,Cinsel,Şubat,KIŞ,DOĞU ANADOLU
186,2012-02-23,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
187,2012-02-23,Bayan,Muş,Ağrılar,Şubat,KIŞ,DOĞU ANADOLU
188,2012-02-23,Bayan,İstanbul,Bakım,Şubat,KIŞ,MARMARA
189,2012-02-23,Erkek,İstanbul,Sağlık,Şubat,KIŞ,MARMARA
190,2012-02-23,Erkek,Erzurum,Cinsel,Şubat,KIŞ,DOĞU ANADOLU
191,2012-02-23,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
192,2012-02-23,Erkek,Karaman,Ağrılar,Şubat,KIŞ,İÇ ANADOLU
193,2012-02-24,Bayan,Eskişehir,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
194,2012-02-24,Erkek,Düzce,Zayıflama,Şubat,KIŞ,KARADENİZ
195,2012-02-24,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
196,2012-02-24,Erkek,Muş,Cinsel,Şubat,KIŞ,DOĞU ANADOLU
197,2012-02-24,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
198,2012-02-24,Erkek,İstanbul,Ağrılar,Şubat,KIŞ,MARMARA
199,2012-02-24,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
200,2012-02-24,Bayan,Tekirdağ,Zayıflama,Şubat,KIŞ,MARMARA
201,2012-02-24,Erkek,İstanbul,Sağlık,Şubat,KIŞ,MARMARA
202,2012-02-24,Bayan,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
203,2012-02-24,Bayan,Malatya,DİĞER,Şubat,KIŞ,DOĞU ANADOLU
204,2012-02-24,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
205,2012-02-24,Erkek,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
206,2012-02-24,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
207,2012-02-24,Erkek,Manisa,Cinsel,Şubat,KIŞ,EGE
208,2012-02-24,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
209,2012-02-25,Bayan,Balıkesir,DİĞER,Şubat,KIŞ,MARMARA
210,2012-02-25,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
211,2012-02-25,Bayan,Muğla,Zayıflama,Şubat,KIŞ,EGE
212,2012-02-25,Bayan,Hatay,Ağrılar,Şubat,KIŞ,AKDENİZ
213,2012-02-25,Erkek,Antalya,Cinsel,Şubat,KIŞ,AKDENİZ
214,2012-02-25,Bayan,Konya,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
215,2012-02-25,Erkek,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
216,2012-02-25,Erkek,Kayseri,Cinsel,Şubat,KIŞ,İÇ ANADOLU
217,2012-02-25,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
218,2012-02-25,Erkek,Muş,Cinsel,Şubat,KIŞ,DOĞU ANADOLU
219,2012-02-27,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
220,2012-02-27,Erkek,Tekirdağ,Zayıflama,Şubat,KIŞ,MARMARA
221,2012-02-27,Bayan,Kocaeli,DİĞER,Şubat,KIŞ,MARMARA
222,2012-02-27,Erkek,Hakkari,DİĞER,Şubat,KIŞ,DOĞU ANADOLU
223,2012-02-27,Bayan,Diyarbakır,Zayıflama,Şubat,KIŞ,GÜNEYDOĞU
224,2012-02-27,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
225,2012-02-27,Bayan,İstanbul,Saç,Şubat,KIŞ,MARMARA
226,2012-02-27,Erkek,İstanbul,Bakım,Şubat,KIŞ,MARMARA
227,2012-02-27,Erkek,Antalya,Ağrılar,Şubat,KIŞ,AKDENİZ
228,2012-02-27,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
229,2012-02-27,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
230,2012-02-27,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
231,2012-02-27,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
232,2012-02-27,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
233,2012-02-27,Erkek,Edirne,Zayıflama,Şubat,KIŞ,MARMARA
234,2012-02-27,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
235,2012-02-27,Bayan,İstanbul,Bakım,Şubat,KIŞ,MARMARA
236,2012-02-27,Erkek,Ankara,DİĞER,Şubat,KIŞ,İÇ ANADOLU
237,2012-02-27,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
238,2012-02-27,Bayan,Trabzon,Bakım,Şubat,KIŞ,KARADENİZ
239,2012-02-27,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
240,2012-02-27,Erkek,Aydın,Cinsel,Şubat,KIŞ,EGE
241,2012-02-27,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
242,2012-02-27,Erkek,Eskişehir,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
243,2012-02-27,Bayan,Zonguldak,Ağrılar,Şubat,KIŞ,KARADENİZ
244,2012-02-27,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
245,2012-02-27,Bayan,Mersin,Zayıflama,Şubat,KIŞ,AKDENİZ
246,2012-02-27,Erkek,Diyarbakır,Cinsel,Şubat,KIŞ,GÜNEYDOĞU
247,2012-02-27,Erkek,Sivas,DİĞER,Şubat,KIŞ,İÇ ANADOLU
248,2012-02-27,Erkek,Manisa,Sağlık,Şubat,KIŞ,EGE
249,2012-02-27,Bayan,İstanbul,Ağrılar,Şubat,KIŞ,MARMARA
250,2012-02-27,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
251,2012-02-27,Erkek,Bursa,Cinsel,Şubat,KIŞ,MARMARA
252,2012-02-27,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
253,2012-02-27,Erkek,Bartın,Cinsel,Şubat,KIŞ,KARADENİZ
254,2012-02-27,Bayan,Denizli,Sağlık,Şubat,KIŞ,EGE
255,2012-02-27,Erkek,Kayseri,DİĞER,Şubat,KIŞ,İÇ ANADOLU
256,2012-02-27,Erkek,Bolu,Ağrılar,Şubat,KIŞ,KARADENİZ
257,2012-02-27,Erkek,İzmir,Cinsel,Şubat,KIŞ,EGE
258,2012-02-27,Bayan,Kütahya,Zayıflama,Şubat,KIŞ,EGE
259,2012-02-27,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
260,2012-02-27,Erkek,Mersin,Güzellik,Şubat,KIŞ,AKDENİZ
261,2012-02-27,Erkek,Sinop,DİĞER,Şubat,KIŞ,KARADENİZ
262,2012-02-27,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
263,2012-02-27,Erkek,Diyarbakır,Zayıflama,Şubat,KIŞ,GÜNEYDOĞU
264,2012-02-28,Erkek,Diyarbakır,Güzellik,Şubat,KIŞ,GÜNEYDOĞU
265,2012-02-28,Erkek,Kocaeli,DİĞER,Şubat,KIŞ,MARMARA
266,2012-02-28,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
267,2012-02-28,Erkek,İstanbul,Bakım,Şubat,KIŞ,MARMARA
268,2012-02-28,Erkek,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
269,2012-02-28,Erkek,Şanlıurfa,Zayıflama,Şubat,KIŞ,GÜNEYDOĞU
270,2012-02-28,Bayan,Bursa,Zayıflama,Şubat,KIŞ,MARMARA
271,2012-02-28,Erkek,Gaziantep,Ağrılar,Şubat,KIŞ,GÜNEYDOĞU
272,2012-02-28,Erkek,Denizli,Zayıflama,Şubat,KIŞ,EGE
273,2012-02-28,Bayan,Bursa,Zayıflama,Şubat,KIŞ,MARMARA
274,2012-02-28,Erkek,Tokat,Sağlık,Şubat,KIŞ,KARADENİZ
275,2012-02-28,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
276,2012-02-28,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
277,2012-02-28,Erkek,Amasya,DİĞER,Şubat,KIŞ,KARADENİZ
278,2012-02-28,Erkek,İstanbul,Bakım,Şubat,KIŞ,MARMARA
279,2012-02-28,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
280,2012-02-28,Bayan,Giresun,Zayıflama,Şubat,KIŞ,KARADENİZ
281,2012-02-28,Bayan,Kocaeli,Zayıflama,Şubat,KIŞ,MARMARA
282,2012-02-28,Erkek,Denizli,Cinsel,Şubat,KIŞ,EGE
283,2012-02-28,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
284,2012-02-28,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
285,2012-02-28,Erkek,Ankara,Ağrılar,Şubat,KIŞ,İÇ ANADOLU
286,2012-02-29,Bayan,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
287,2012-02-29,Erkek,Düzce,Zayıflama,Şubat,KIŞ,KARADENİZ
288,2012-02-29,Bayan,Erzincan,Zayıflama,Şubat,KIŞ,DOĞU ANADOLU
289,2012-02-29,Erkek,Trabzon,Cinsel,Şubat,KIŞ,KARADENİZ
290,2012-02-29,Bayan,Kocaeli,Zayıflama,Şubat,KIŞ,MARMARA
291,2012-02-29,Erkek,Tekirdağ,Cinsel,Şubat,KIŞ,MARMARA
292,2012-02-29,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
293,2012-02-29,Erkek,Ankara,DİĞER,Şubat,KIŞ,İÇ ANADOLU
294,2012-02-29,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
295,2012-02-29,Erkek,Malatya,Zayıflama,Şubat,KIŞ,DOĞU ANADOLU
296,2012-02-29,Bayan,Adana,Zayıflama,Şubat,KIŞ,AKDENİZ
297,2012-02-29,Bayan,Adana,Zayıflama,Şubat,KIŞ,AKDENİZ
298,2012-02-29,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
299,2012-02-29,Erkek,İzmir,Zayıflama,Şubat,KIŞ,EGE
300,2012-02-29,Erkek,Antalya,Cinsel,Şubat,KIŞ,AKDENİZ
301,2012-03-01,Erkek,İstanbul,Saç,Mart,İLKBAHAR,MARMARA
302,2012-03-01,Erkek,Tokat,Cinsel,Mart,İLKBAHAR,KARADENİZ
303,2012-03-01,Bayan,İzmir,Zayıflama,Mart,İLKBAHAR,EGE
304,2012-03-01,Erkek,Gaziantep,Cinsel,Mart,İLKBAHAR,GÜNEYDOĞU
305,2012-03-01,Bayan,Bursa,Zayıflama,Mart,İLKBAHAR,MARMARA
306,2012-03-01,Erkek,İzmir,Zayıflama,Mart,İLKBAHAR,EGE
307,2012-03-01,Bayan,Kocaeli,Zayıflama,Mart,İLKBAHAR,MARMARA
308,2012-03-01,Erkek,Elazığ,Zayıflama,Mart,İLKBAHAR,DOĞU ANADOLU
309,2012-03-01,Erkek,İstanbul,DİĞER,Mart,İLKBAHAR,MARMARA
310,2012-03-01,Erkek,Edirne,Zayıflama,Mart,İLKBAHAR,MARMARA
311,2012-03-01,Erkek,İstanbul,Bakım,Mart,İLKBAHAR,MARMARA
312,2012-03-01,Bayan,Gaziantep,Bakım,Mart,İLKBAHAR,GÜNEYDOĞU
313,2012-03-01,Erkek,İstanbul,Zayıflama,Mart,İLKBAHAR,MARMARA
